net,length_um
net783,1.30745mm
net1591,1.30438mm
net257,1.27091mm
_32414_,1.18443mm
net1450,1.1471mm
net518,1.13985mm
net710,1.10553mm
net1260,1.08548mm
net245,1.02556mm
net989,1.01157mm
net1328,1.00775mm
net1495,1.00766mm
net1522,991.32µm
net656,986.02µm
net603,983.31µm
net841,974.22µm
net703,971.27µm
net650,970.01µm
net583,968.51µm
net516,965.42µm
net807,964.54µm
net1513,961.54µm
net1511,956.89µm
net1453,949.79µm
net635,948.03µm
net208,947.77µm
net837,947.28µm
net790,943.65µm
net515,938.18µm
net759,935.82µm
net1578,932.27µm
net773,932.21µm
net856,928.85µm
net556,926.59µm
net1174,926.35µm
net742,922.78µm
net1405,920.78µm
net1317,918.48µm
net784,912.94µm
net809,912.23µm
net1046,908.79µm
net1510,907.15µm
net994,906.63µm
net1520,906.59µm
net1268,906.295µm
net648,905.96µm
net861,903.59µm
net661,901.4µm
net1374,900.14µm
net1044,899.49µm
net581,898.1µm
net836,897.59µm
net1588,897.25µm
net1438,896.75µm
net845,896.12µm
net645,895.9µm
net1426,895.48µm
net1327,893.75µm
net976,893.69µm
net805,885.43µm
net214,883.82µm
net228,883.35µm
net857,883.31µm
net1434,882.16µm
net1599,879.68µm
net1364,879.2µm
net1354,877.26µm
net835,877.22µm
net198,876.41µm
net242,874.89µm
net1320,874.21µm
net1266,873.86µm
_32788_,872.41µm
net1318,871.96µm
net221,871.36µm
net941,870.27µm
net1607,868.28µm
net1232,865.84µm
net592,864.16µm
net209,862.67µm
net177,860.17µm
net1502,859.13µm
net859,858.56µm
net1321,857.08µm
net1362,855.66µm
net1252,855.435µm
net1304,853.38µm
net690,852.93µm
net167,852.81µm
net1493,852.23µm
_31919_,852.07µm
net555,851.89µm
net1185,851.76µm
net1345,850.69µm
net1182,850.31µm
net644,849.83µm
net1356,848.64µm
net631,844.86µm
net700,843.55µm
net763,842.455µm
net1556,841.54µm
net1449,840.02µm
net568,838.6µm
net1208,837.92µm
clknet_0_clk,833.2µm
net136,830.75µm
net1225,830.73µm
net1506,829.43µm
net1451,829.06µm
net812,828.4µm
net1121,828.35µm
net657,827.05µm
net1085,826.6µm
net589,825.55µm
net141,823.73µm
net1285,822.19µm
net659,821.16µm
net1219,818.95µm
net565,818.12µm
_32194_,818.08µm
